City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dzhida,RU,50.6772,106.1806,39.07,86,100,5.79,overcast clouds
80,Luderitz,NA,-26.6481,15.1594,61.12,49,9,13.8,clear sky
81,Bredasdorp,ZA,-34.5322,20.0403,60.12,82,76,5.75,broken clouds
82,Ornskoldsvik,SE,63.2909,18.7153,40.15,87,35,6.91,scattered clouds
83,Bray,IE,53.2028,-6.0983,62.08,88,91,10.51,overcast clouds
84,Kande,TG,9.9578,1.0447,73.76,90,96,2.86,overcast clouds
85,San Cosme Y Damian,PY,-27.3167,-56.35,66.38,78,0,6.04,clear sky
86,West Point,US,33.6076,-88.6503,64.0,97,1,0.0,clear sky
87,Cayenne,GF,4.9333,-52.3333,83.08,83,56,1.99,broken clouds
88,Nelson Bay,AU,-32.7167,152.15,60.85,87,100,3.0,light rain
89,Dalbandin,PK,28.8947,64.4101,76.32,9,6,2.98,clear sky
90,Puerto Ayora,EC,-0.7393,-90.3518,69.42,90,92,8.1,overcast clouds
91,Beloha,MG,-25.1667,45.05,66.18,77,0,6.29,clear sky
92,Yulara,AU,-25.2406,130.9889,84.04,10,2,17.27,clear sky
93,Roberval,CA,48.5168,-72.2324,56.03,88,90,3.44,overcast clouds
94,Cravo Norte,CO,6.3017,-70.2041,76.37,86,16,4.97,few clouds
95,Xinyang,CN,32.1228,114.0656,69.21,93,100,8.43,overcast clouds
96,Saldanha,ZA,-33.0117,17.9442,59.05,95,7,5.7,clear sky
97,Clyde River,CA,70.4692,-68.5914,26.85,90,12,6.02,few clouds
98,Ahipara,NZ,-35.1667,173.1667,60.04,86,100,7.65,overcast clouds
99,Chuy,UY,-33.6971,-53.4616,57.04,97,58,3.71,broken clouds
100,Elverum,NO,60.8819,11.5623,41.92,86,36,2.53,scattered clouds
101,Souillac,MU,-20.5167,57.5167,71.98,78,75,13.8,broken clouds
102,Port Alfred,ZA,-33.5906,26.891,61.18,71,16,11.9,few clouds
103,Ribeira Grande,PT,38.5167,-28.7,71.44,84,100,0.45,overcast clouds
104,Tasiilaq,GL,65.6145,-37.6368,37.56,61,99,7.58,overcast clouds
105,Ponta Delgada,PT,37.7333,-25.6667,72.5,94,40,10.36,scattered clouds
106,Iqaluit,CA,63.7506,-68.5145,33.53,74,90,10.0,overcast clouds
107,Mairi,BR,-11.7114,-40.1489,65.46,84,0,5.95,clear sky
108,Yellowknife,CA,62.456,-114.3525,43.29,85,40,1.99,scattered clouds
109,Busselton,AU,-33.65,115.3333,62.04,77,63,3.42,broken clouds
110,Viedma,AR,-40.8135,-62.9967,65.66,26,81,11.5,broken clouds
111,Buala,SB,-8.145,159.5921,85.68,69,35,6.67,light rain
112,Hargeysa,SO,9.56,44.065,70.56,58,52,16.42,broken clouds
113,Saint-Pierre,RE,-21.3393,55.4781,67.64,72,75,3.44,broken clouds
114,Oistins,BB,13.0667,-59.5333,78.89,89,40,4.61,scattered clouds
115,Bayan,CN,46.0833,127.4,61.84,85,99,6.87,overcast clouds
116,Pochutla,MX,15.7432,-96.4661,78.82,91,98,3.47,overcast clouds
117,Skjervoy,NO,70.0311,20.9714,46.94,77,24,10.36,few clouds
118,Marzuq,YE,14.4,46.4667,75.22,36,79,2.57,broken clouds
119,Khatanga,RU,71.9667,102.5,31.78,82,94,12.06,overcast clouds
120,Dingle,PH,10.9995,122.6711,85.66,71,45,4.76,scattered clouds
121,Mahon,ES,39.8885,4.2658,75.76,94,75,3.44,broken clouds
122,Kavaratti,IN,10.5669,72.642,81.19,80,88,17.98,overcast clouds
123,Khandyga,RU,62.6667,135.6,41.79,87,99,4.54,overcast clouds
124,Soure,BR,-0.7167,-48.5233,80.06,81,99,11.52,overcast clouds
125,San Cristobal,VE,7.7669,-72.225,77.18,98,70,3.74,broken clouds
126,Lethem,GY,3.3803,-59.7968,80.62,65,85,4.5,overcast clouds
127,Zyryanka,RU,65.75,150.85,37.96,70,96,16.24,overcast clouds
128,Ferrol,ES,43.4832,-8.2369,66.36,80,56,9.42,broken clouds
129,Yerbogachen,RU,61.2767,108.0108,40.62,60,100,15.48,overcast clouds
130,Cabo San Lucas,MX,22.8909,-109.9124,85.6,72,31,5.99,scattered clouds
131,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,81,90,16.11,light rain
132,Tahta,EG,26.7693,31.5021,70.12,48,5,8.3,clear sky
133,Mahajanga,MG,-15.7167,46.3167,69.82,64,20,5.75,few clouds
134,Karratha,AU,-20.7377,116.8463,81.36,27,0,14.41,clear sky
135,Provideniya,RU,64.3833,-173.3,34.14,89,94,3.02,overcast clouds
136,Saint George,US,37.1041,-113.5841,86.63,25,1,1.01,clear sky
