City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
247,Margate,71,GB,2021-09-25 22:17:38,94,51.3813,1.3862,59.95,8.05
248,Lanzhou,97,CN,2021-09-25 22:17:39,50,36.0564,103.7922,61.88,5.21
249,Molina,20,CL,2021-09-25 22:17:39,55,-35.1167,-71.2833,62.33,5.75
250,Flin Flon,63,CA,2021-09-25 22:15:07,50,54.7682,-101.865,63.12,4.05
251,Bure,97,ET,2021-09-25 22:17:40,96,10.7,37.0667,55.08,1.34
252,Dhidhdhoo,100,MV,2021-09-25 22:17:40,79,6.8833,73.1,81.14,19.35
253,Townsville,40,AU,2021-09-25 22:17:40,73,-19.25,146.8,74.28,6.91
254,Palmer,40,US,2021-09-25 22:17:41,64,42.1584,-72.3287,73.36,6.91
255,Alyangula,35,AU,2021-09-25 22:17:41,69,-13.8483,136.4192,77.52,3.56
256,Katsuura,100,JP,2021-09-25 22:17:42,67,35.1333,140.3,71.19,14.94
257,Buin,0,CL,2021-09-25 22:17:42,58,-33.7333,-70.75,67.05,5.5
258,Ribeira Grande,100,PT,2021-09-25 22:13:26,83,38.5167,-28.7,71.24,8.52
259,Mount Gambier,54,AU,2021-09-25 22:17:43,69,-37.8333,140.7667,45.79,3.51
260,Laguna,1,US,2021-09-25 22:17:43,33,38.421,-121.4238,98.2,4.0
261,Poum,75,NC,2021-09-25 22:17:44,66,-20.2333,164.0167,72.61,6.96
262,Wanning,85,CN,2021-09-25 22:16:48,88,18.8003,110.3967,78.3,8.93
263,Natal,40,BR,2021-09-25 22:17:44,78,-5.795,-35.2094,80.82,12.66
264,Geraldton,75,AU,2021-09-25 22:16:09,72,-28.7667,114.6,61.21,13.8
265,Adrar,71,MR,2021-09-25 22:16:51,21,20.5022,-10.0711,95.14,4.74
266,Onoda,75,JP,2021-09-25 22:17:45,80,34.0014,131.1836,73.38,2.3
267,Ginir,76,ET,2021-09-25 22:17:45,73,7.1333,40.7,59.09,6.06
268,Saint George,1,US,2021-09-25 22:17:46,17,37.1041,-113.5841,94.53,8.01
269,La Peca,69,PE,2021-09-25 22:17:46,64,-5.6111,-78.435,77.79,5.79
270,Broome,1,US,2021-09-25 22:16:31,66,42.2506,-75.833,68.9,4.0
271,Uige,84,AO,2021-09-25 22:17:46,84,-7.6087,15.0613,69.6,2.98
272,Newport,97,GB,2021-09-25 22:17:47,90,51.5877,-2.9984,64.17,6.2
273,Hambantota,96,LK,2021-09-25 22:17:47,80,6.1241,81.1185,80.13,18.41
274,College,75,US,2021-09-25 22:14:26,89,64.8569,-147.8028,35.55,0.0
275,Victoria,26,HK,2021-09-25 22:15:12,80,22.2855,114.1577,84.18,5.01
276,Preobrazheniye,95,RU,2021-09-25 22:17:48,83,42.9019,133.9064,58.55,3.27
277,Salalah,75,OM,2021-09-25 22:17:49,89,17.0151,54.0924,80.69,2.3
278,Vardo,48,NO,2021-09-25 22:17:47,85,70.3705,31.1107,46.54,8.88
279,Kieta,23,PG,2021-09-25 22:16:37,81,-6.2167,155.6333,81.81,4.54
280,Faya,10,SA,2021-09-25 22:17:49,25,18.3851,42.4509,66.31,5.75
281,Tagusao,62,PH,2021-09-25 22:17:49,82,9.1924,117.8141,79.5,1.61
282,Guaraniacu,2,BR,2021-09-25 22:17:50,56,-25.1008,-52.8781,68.14,3.31
283,Maningrida,84,AU,2021-09-25 22:17:50,81,-12.0667,134.2667,75.16,4.38
284,Luau,52,AO,2021-09-25 22:17:51,29,-10.7073,22.2247,71.06,2.68
285,Dinagat,100,PH,2021-09-25 22:17:51,76,9.9561,125.5933,81.72,1.68
286,Jiazi,8,CN,2021-09-25 22:17:52,79,22.8779,116.067,78.01,13.4
287,Inhambane,0,MZ,2021-09-25 22:16:28,81,-23.865,35.3833,69.01,7.56
288,Kemijarvi,100,FI,2021-09-25 22:16:19,96,66.7131,27.4306,42.67,0.76
289,Maxixe,0,MZ,2021-09-25 22:17:52,83,-23.8597,35.3472,67.78,6.6
290,Husavik,100,IS,2021-09-25 22:17:53,92,66.0449,-17.3389,37.31,16.15
291,Chapais,93,CA,2021-09-25 22:17:53,60,49.7834,-74.8492,62.38,9.53
292,Zhangye,78,CN,2021-09-25 22:17:53,47,38.9342,100.4517,57.78,4.9
293,Kysyl-Syr,10,RU,2021-09-25 22:17:54,96,63.8986,122.7617,28.63,4.56
294,Bowen,0,AU,2021-09-25 22:17:54,73,-20.0167,148.2333,68.4,6.73
295,Asau,1,RO,2021-09-25 22:14:15,81,46.4333,26.4,54.75,5.77
